Sentence,Noun1,Is/Have,Noun2
formal structure method of document review can be use or a informal approach may be adopt,structure method,is a,use
another result be probability of failure of overall system indicate level of quality of system or product,result,is a,probability
risk can be identiﬁ ed as uncertain event or condition which would lead to a change in strength of one or more of identiﬁ ed force,risk,is a,ed
practice standard for project risk management figure d example of a force field analysis and balance of force for and against change d industry knowledge base an industry knowledge base be a special case of a checklist and be use,industry knowledge base,is a,case
practice standard for project risk management d prompt list a prompt list be a set of risk category which can be use to stimulate risk identiﬁ cation,list,is a,set
practice standard for project risk management d prompt list a prompt list be a set of risk category which can be use to stimulate risk identiﬁ cation,which,is a,use
these can be use as a framework for other risk identiﬁ cation technique such as brainstorming or risk interview,these,is a,use
technique be use in strategic decision making,technique,is a,use
analysis of change in model or assumption can indicate system ’ s sensitivity to speciﬁ c event some of which may be risk,some,is a,risk
one beneﬁ t of this approach be that subject matter expert need to assess a risk ’ s probability within a range than as a speciﬁ c value,beneﬁ t,is a,need
example of impact level deﬁ nitions be project speciﬁ c value use to specify level of impact from low to high should be conceptualise higher impact for threat or opportunity as they move from low to high for a speciﬁ c • objective level be deﬁ ned by organization as cause same amount of pain or gain to project for • each level across objective if a risk ’ s possible impact be uncertain and could be assign to more than one level of impact analyst may choose to assign risk to impact level that represent expect or average impact,example,is a,specﬁ value use impact
deﬁ nitions tailor to project can be use for opportunity and threat,nations tailor,is a,use
note — opportunity be to be treat as represent a positive saving in time or cost or increase functionality,opportunity,is a,functionality
d probability and impact matrix organization assess a risk ’ s priority on an objective from combination of probability of occurrence and impact on that project objective use deﬁ nitions such as those show in figure d risk be place on a probability and impact matrix such as one show below,risk,is a,place
what be best decision to make in face of uncertain result,what,is a,decision
what be individual risk that seem to be important in determine overall project risk,what,is a,risk
an example be show below where conceptualise negative number represent outﬂ ows or investment • percentage represent probability of event occur • positive number represent reward or value • true ” indicate decision option take from square decision node whereas false ” • indicate decision option not take figure d example of a decision tree for choose between an experimental technology v commercial off shelf technologysource conceptualise precision tree from palisade corporation d expect monetary value expect monetary value be a simple calculation of a value such as weighted average or expect cost or beneﬁ t when outcome be uncertain,value,is a,calculation
all reasonable alternative outcome be identiﬁ ed,outcome,is a,identﬁ ed
technique strength weaknesses csfs for effective application brainstorming→ see chapter check lists→ see chapter contingency planningensures that action • be available to address signiﬁ ca nt event before their occurrencecan give a false feeling • of conﬁ dence – as if risk have be avoidedthe trigger condition • must be deﬁ ned and trackeddappendix d project management institute,risk,is a,trigger condition •
practice standard for project risk management technique strength weaknesses csfs for effective application allow rapid and • focus responseimproves image of • professionalism of way in which project be managedthe plan need to be • validated periodicallywillingness of • organization to execute plan and provide budget and resource when trigger condition occurscontingency reserve estimationprovides a rationale • for reservesbasis for constructive • discussion with sponsormakes reserve visible and liable to be reduce arbitrarilypolicy for reserve • management agree with sponsor and senior managementcritical chain project management along with many other • approach insists on resolve resource availability issue when develop scheduleaddresses schedule • risk by addition of feed buffer ” to absorb statistical variation on duration of non critical path activity to reduce their contribution to schedule mitigates • nancial risk by control amount of work in process ” buffer penetration ” • threshold can be use as trigger condition for speciﬁ c response action special software be • available for create and manage buffersfeeding buffer can • deal with predictable common cause variation but may be inadequate to cater for special cause indicative ” start • and end date can disturb conventional management expectation and may cause problem for set intermediate milestonesassumption that base • estimate represent conﬁ dence level not all project • schedule be resourcedrequires a • resourced project scheduleunderstanding of • and acceptance by management and project team member that activity date be indicative than deﬁ nitive promise be set to provide a conﬁ dence levelequitable share • of buffer by all team member concern dappendix d project management institute,project,is a,deﬁ activity date be deﬁ
quantitative method can be use to determine amount that should be set,method,is a,use
these reserve be track and manage in monitor and control risk,reserve,is a,track
practice standard for project risk management technique strength weaknesses csfs for effective application reserve analysisprovides a mean of • track spend and releasing contingency amount as risk expire can be apply to schedule reserve in same waygives early warn of • need to communicate with sponsorcould lead to • unwarranted focus on cost dimensionattention to overall • measure of reserve depletion may hide detailed risksprior detail reserve • planningaccurate sizing of • contingency reserve of time or cost relative to risk to overall project completion date and budgetrisk a formal • assessment of compliance with approach speciﬁ ed in risk management plancan be disruptive to • project and take as judgemental to project teamwell speciﬁ ed risk • management plansensitivity to • burden it place on project teamrisk reassessmentforces a review of • project risk when it become necessary so that risk register remain up to datetakes time and effort• maintain • project and risk documentation schemestatus meetingsprovide a mean of • verify information about status of risk and maintain team understandingcan seem • unnecessary to some participantsgood meeting • preparation and disciplinetrend analysisprovides an indication • of effectiveness of earlier responsescan provide trigger • condition for responsesrequires • understanding of signiﬁ ca nt v non signiﬁ ca nt variationregular reporting and • analysis of critical valuesdappendix d project management institute,assessment,is a,project
time buffer can be use in two different way conceptualise to provide for accepted schedule risk as describe above or • as a scheduling relate technique in critical chain project management,time buffer,is a,use
track rate at which each such buffer be use during project execution provide valuable information at a give point in time as to level of schedule risk along that chain and be use in ccpm for adapt priority or management focus for additional analysis and as necessary trigger further risk management activity,buffer,is a,use
○ risk or trigger condition that have occur • what be status of action,what,is a,status
d variance analysis formula in earned value analysis can be use to set threshold for action and to indicate when risk process may be ineffective,analysis formula,is a,use
assumption be factor that for planning purpose be consider to be true real or certain without proof or demonstration,assumption,is a,factor
decision tree be a diagram that describe a decision under consideration and implication of choose one or another of available alternative,decision tree,is a,diagram
a speciﬁ c uncertain event or condition which if it occur have a positive or negative effect on one project objective,which,has a,effect
a condition or situation favorable to project a positive set of circumstance a positive set of event a risk that will have a positive impact on project objective or a possibility for positive change,that,has a,impact
document describe how project risk management will be structure and perform on project,project risk management,is a,structure
risk management plan can be informal and frame or formal and detail base on need of project,management plan,is a,base
a condition or situation unfavorable to project a negative set of circumstance a negative set of event a risk that will have a negative impact on a project objective if it occur or a possibility for negative change,that,has a,impact
,plan risk management,is a,project risk management
,identify risks,is a,project risk management
,perform qualitative risk analysis,is a,project risk management
,perform quantitative risk analysis,is a,project risk management
,plan risk responses,is a,project risk management
,implement risk responses,is a,project risk management
, project char ter,is a,plan risk management inputs
, project managem ent plan,is a,plan risk management inputs
, proje ct docum ents,is a,plan risk management inputs
, enterpr ise environm ental  factors,is a,plan risk management inputs
, organizational  proce ss asse ts,is a,plan risk management inputs
, project managem ent plan,is a,identify risks inputs
, project docum ents,is a,identify risks inputs
, agreem ents,is a,identify risks inputs
, proc urem ent docum enta tion,is a,identify risks inputs
, enterpr ise environm ental  factors,is a,identify risks inputs
, organizational  proce ss asse ts,is a,identify risks inputs
, project managem ent plan,is a,perform qualitative risk analysis inputs
, project docum ents,is a,perform qualitative risk analysis inputs
, enterpr ise environm ental  factors,is a,perform qualitative risk analysis inputs
,,is a,perform qualitative risk analysis inputs
, project managem ent plan,is a,perform quantitative risk analysis inputs
, project docum ents,is a,perform quantitative risk analysis inputs
, enterpr ise environm ental  factors,is a,perform quantitative risk analysis inputs
, organizational  proce ss asse ts,is a,perform quantitative risk analysis inputs
, project managem ent plan,is a,plan risk responses inputs
, project docum ents,is a,plan risk responses inputs
, enterpr ise environm ental  factors,is a,plan risk responses inputs
, organizational  proce ss asse ts,is a,plan risk responses inputs
, project managem ent plan,is a,implement risk responses inputs
, project docum ents,is a,implement risk responses inputs
, organizational  proce ss asse ts,is a,implement risk responses inputs
, exper t judgment,is a,plan risk management tools and techniques
, data analy sis,is a,plan risk management tools and techniques
, meetin gs,is a,plan risk management tools and techniques
, exper t judgment,is a,identify risks tools and techniques
, data ga thering,is a,identify risks tools and techniques
, data analy sis,is a,identify risks tools and techniques
, int erpersonal  and team s kills,is a,identify risks tools and techniques
, prompt l istsa,is a,identify risks tools and techniques
, meetin gs,is a,identify risks tools and techniques
, exper t judgment,is a,perform qualitative risk analysis tools and techniques
, data ga thering,is a,perform qualitative risk analysis tools and techniques
, data analy sis,is a,perform qualitative risk analysis tools and techniques
, int erpersonal  and team s kills,is a,perform qualitative risk analysis tools and techniques
,,is a,perform qualitative risk analysis tools and techniques
, ,is a,perform qualitative risk analysis tools and techniques
, meetin gs,is a,perform qualitative risk analysis tools and techniques
, exper t judgment,is a,perform quantitative risk analysis tools and techniques
, data ga thering,is a,perform quantitative risk analysis tools and techniques
, int erpersonal  and team s kills,is a,perform quantitative risk analysis tools and techniques
, representa tions  of unc ertainty,is a,perform quantitative risk analysis tools and techniques
, data analy sis,is a,perform quantitative risk analysis tools and techniques
, exper t judgment,is a,plan risk responses tools and techniques
, data ga thering,is a,plan risk responses tools and techniques
, int erpersonal  and team s kills,is a,plan risk responses tools and techniques
, st rategies f or threats,is a,plan risk responses tools and techniques
, st rategies f or oppor tunities,is a,plan risk responses tools and techniques
, conting ent re spons e st rategies,is a,plan risk responses tools and techniques
, st rategies f or overall project risk,is a,plan risk responses tools and techniques
, data analy sisa,is a,plan risk responses tools and techniques
, decision making,is a,plan risk responses tools and techniques
, exper t judgment,is a,implement risk responses tools and techniques
, int erpersonal  and team s kills,is a,implement risk responses tools and techniques
, project managem ent informa tion sy stem ,is a,implement risk responses tools and techniques
,,is a,plan risk management outputs
, risk re gister,is a,identify risks outputs
, risk rep ort,is a,identify risks outputs
, project docum ents upda tes,is a,identify risks outputs
, project docum ents upda tes,is a,perform qualitative risk analysis outputs
, project docum ents upda tes,is a,perform quantitative risk analysis outputs
, chang e requests,is a,plan risk responses outputs
, project managem ent plan upda tes,is a,plan risk responses outputs
, project docum ents upda tes,is a,plan risk responses outputs
, chang e requests,is a,implement risk responses outputs
, project docum ents upda tes,is a,implement risk responses outputs
